HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458539.62716,2019-02-25.1241076,bE,1.49,16.733,13.813,0.015,10.839,0.149,g
2458539.80570,2019-02-25.3026491,bE,1.50,16.450,13.814,0.019,10.826,0.193,g
2458539.80696,2019-02-25.3039113,bE,1.48,16.429,13.771,0.019,11.255,0.197,g
2458539.80824,2019-02-25.3051861,bE,1.45,16.464,13.793,0.019,11.039,0.191,g
2458540.61942,2019-02-26.1163792,bE,1.47,16.727,13.802,0.015,10.940,0.150,g
2458540.62069,2019-02-26.1176443,bE,1.54,16.697,13.780,0.015,11.164,0.154,g
2458540.62196,2019-02-26.1189209,bE,1.53,16.720,13.779,0.014,11.181,0.152,g
2458540.80096,2019-02-26.2979216,bE,1.48,16.552,13.787,0.017,11.098,0.177,g
2458540.80224,2019-02-26.2992057,bE,1.47,16.504,13.739,0.017,11.597,0.185,g
2458540.80351,2019-02-26.3004700,bE,1.52,16.522,13.799,0.018,10.983,0.181,g
2458541.61883,2019-02-27.1158062,bE,1.53,16.729,13.776,0.014,11.214,0.150,g
2458541.62009,2019-02-27.1170736,bE,1.50,16.716,13.781,0.015,11.160,0.152,g
2458541.62135,2019-02-27.1183365,bE,1.44,16.739,13.784,0.014,11.128,0.149,g
2458541.80009,2019-02-27.2970688,bE,1.94,16.528,13.787,0.017,11.092,0.180,g
2458541.80135,2019-02-27.2983291,bE,1.66,16.504,13.777,0.018,11.205,0.185,g
2458541.80262,2019-02-27.2996060,bE,1.63,16.513,13.789,0.018,11.082,0.183,g
2458542.61028,2019-02-28.1072715,bE,1.48,16.743,13.834,0.015,10.630,0.148,g
2458542.61157,2019-02-28.1085576,bE,1.48,16.686,13.756,0.015,11.414,0.157,g
2458542.61284,2019-02-28.1098300,bE,1.48,16.732,13.812,0.015,10.847,0.150,g
2458542.79544,2019-02-28.2924337,bE,1.49,16.572,13.816,0.017,10.803,0.173,g
2458542.79671,2019-02-28.2937018,bE,1.48,16.597,13.821,0.017,10.754,0.170,g
2458542.79799,2019-02-28.2949861,bE,1.47,16.631,13.855,0.017,10.422,0.164,g
2458543.61276,2019-03-01.1097604,bE,1.46,16.726,13.815,0.015,10.813,0.151,g
2458543.61403,2019-03-01.1110305,bE,1.40,16.731,13.796,0.015,11.000,0.149,g
2458543.61528,2019-03-01.1122890,bE,1.43,16.727,13.819,0.015,10.773,0.150,g
2458543.79460,2019-03-01.2916093,bE,1.56,16.593,13.801,0.017,10.953,0.170,g
2458543.79587,2019-03-01.2928708,bE,1.55,16.571,13.804,0.017,10.926,0.173,g
2458543.79717,2019-03-01.2941809,bE,1.48,16.591,13.800,0.017,10.964,0.171,g
2458544.78994,2019-03-02.2869663,bE,1.51,16.627,13.782,0.016,11.147,0.165,g
2458544.79122,2019-03-02.2882416,bE,1.49,16.632,13.765,0.016,11.325,0.164,g
2458544.79248,2019-03-02.2895025,bE,1.43,16.594,13.772,0.016,11.258,0.170,g
2458545.79499,2019-03-03.2920258,bE,1.53,99.990,99.990,99.990,99.990,99.990,g
2458546.78429,2019-03-04.2813548,bE,1.56,16.609,13.805,0.016,10.907,0.168,g
2458546.78556,2019-03-04.2826239,bE,1.53,16.608,13.805,0.016,10.916,0.168,g
2458546.78683,2019-03-04.2838976,bE,1.50,16.600,13.790,0.016,11.063,0.169,g
2458547.77953,2019-03-05.2766097,bE,1.47,16.629,13.802,0.016,10.944,0.164,g
2458547.78080,2019-03-05.2778857,bE,1.57,16.681,13.832,0.016,10.652,0.157,g
2458547.78207,2019-03-05.2791493,bE,1.50,16.656,13.836,0.016,10.606,0.160,g
2458548.77868,2019-03-06.2757881,bE,1.55,16.641,13.794,0.016,11.029,0.163,g
2458548.77995,2019-03-06.2770568,bE,1.58,16.633,13.775,0.016,11.228,0.165,g
2458548.78122,2019-03-06.2783268,bE,1.57,16.622,13.771,0.016,11.260,0.166,g
2458549.75973,2019-03-07.2568564,bE,1.46,16.639,13.782,0.016,11.148,0.163,g
2458549.76109,2019-03-07.2582142,bE,1.48,16.652,13.799,0.016,10.973,0.162,g
2458549.76236,2019-03-07.2594822,bE,1.46,16.640,13.785,0.016,11.117,0.163,g
2458550.76632,2019-03-08.2634638,bE,1.55,16.620,13.779,0.016,11.182,0.166,g
