HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459383.47660,2021-06-17.9784651,bE,2.21,17.326,14.100,0.011,8.321,0.085,g
2459387.46418,2021-06-21.9662337,bi,1.43,16.845,14.168,0.018,7.816,0.133,g
2459388.46089,2021-06-22.9629817,bi,1.59,16.803,14.259,0.021,7.184,0.138,g
2459392.46690,2021-06-26.9691620,bi,1.54,17.261,14.227,0.013,7.403,0.090,g
2459394.45399,2021-06-28.9563464,bi,1.57,17.032,14.369,0.019,6.492,0.112,g
2459452.91532,2021-08-26.4186065,bi,1.43,16.669,15.173,0.055,3.097,0.156,g
2459453.91722,2021-08-27.4205021,bE,1.54,16.753,15.554,0.072,2.180,0.144,g
2459457.90213,2021-08-31.40535,bi,1.41,16.784,15.547,0.070,2.194,0.140,g
2459473.62558,2021-09-16.1284453,bm,1.56,17.092,14.551,0.021,5.489,0.106,g
2459474.89709,2021-09-17.3999217,bi,1.47,16.870,15.034,0.040,3.520,0.130,g
2459478.85982,2021-09-21.3625273,bi,1.52,16.653,14.479,0.029,5.865,0.158,g
2459480.86545,2021-09-23.3680847,bE,1.56,16.935,14.661,0.027,4.963,0.122,g
2459482.61033,2021-09-25.1129033,bm,2.11,16.896,14.524,0.024,5.629,0.127,g
2459489.82192,2021-10-02.3242092,bi,1.43,16.885,15.205,0.046,3.007,0.128,g
2459491.85932,2021-10-04.3615225,bi,1.48,16.901,15.148,0.043,3.168,0.126,g
2459492.81697,2021-10-05.3191368,bi,1.47,16.981,14.802,0.029,4.356,0.117,g
2459493.57526,2021-10-06.0773968,bm,1.56,16.898,15.086,0.041,3.355,0.126,g
2459494.57195,2021-10-07.0740387,bm,1.58,16.879,15.234,0.048,2.927,0.129,g
2459494.88758,2021-10-07.3896521,bi,1.46,16.499,15.357,0.076,2.614,0.183,g
2459495.56891,2021-10-08.0709587,bm,1.50,16.842,15.545,0.066,2.197,0.133,g
2459496.80863,2021-10-09.3106162,bE,1.49,16.998,15.061,0.037,3.433,0.115,g
2459497.56248,2021-10-10.0644334,bm,1.55,16.845,15.424,0.059,2.456,0.133,g
2459499.54997,2021-10-12.0518284,bm,2.35,16.862,15.264,0.050,2.847,0.131,g
2459500.80983,2021-10-13.3116230,bE,1.59,16.923,15.462,0.057,2.374,0.124,g
2459501.80454,2021-10-14.3062880,bE,1.49,16.950,15.200,0.043,3.019,0.121,g
2459502.54660,2021-10-15.0483052,bm,1.52,16.682,15.196,0.055,3.032,0.154,g
2459502.80352,2021-10-15.3052244,bE,1.51,16.950,15.134,0.041,3.209,0.121,g
2459503.80345,2021-10-16.3050998,bE,1.55,16.908,15.181,0.044,3.074,0.125,g
2459504.78620,2021-10-17.2877991,bE,1.50,16.871,14.880,0.035,4.056,0.130,g
2459505.79342,2021-10-18.2949685,bE,1.47,16.898,14.672,0.028,4.912,0.126,g
2459506.79537,2021-10-19.2968605,bE,1.55,16.707,15.168,0.053,3.110,0.151,g
2459507.78322,2021-10-20.2846690,bE,1.51,16.588,15.942,0.120,1.525,0.168,g
