###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
58075.571915  13.499  0.003 14470   40 o  0 1107.62 123.84754 -38.98983  7527.98  5974.82 3.80 2.99 -88.3 -0.416 18.97 20.55 01a58075o0847o
58075.581546  13.517  0.003 14229   41 o  0 1095.54 123.84754 -38.98983  7501.50  5902.66 3.69 2.82 -88.3 -0.434 18.99 20.51 01a58075o0868o
58075.582919  13.473  0.003 14823   43 o  0 628.43 123.84754 -38.98983  7560.97  5973.98 3.78 3.11 -88.2 -0.426 18.93 20.52 01a58075o0871o
58075.592584  13.507  0.003 14360   40 o  0 1289.93 123.84754 -38.98983  7565.94  5822.67 3.78 2.85 -89.3 -0.428 18.96 20.53 01a58075o0892o
58079.553632  13.467  0.003 14895   43 o  0 580.78 123.84754 -38.98983  6893.09  6858.78 4.14 3.19  89.7 -0.412 18.82 20.47 01a58079o0808o
58079.559136  13.491  0.003 14575   41 o  0 868.04 123.84754 -38.98983  6871.13  6801.89 4.03 3.05 -89.0 -0.420 18.85 20.46 01a58079o0820o
58079.566032  13.503  0.003 14414   40 o  0 1110.34 123.84754 -38.98983  6923.36  6853.93 3.99 2.97 -89.7 -0.418 18.91 20.53 01a58079o0835o
58079.572960  13.442  0.003 15253   42 o  0 578.97 123.84754 -38.98983  6930.84  6713.37 4.12 3.48  89.5 -0.388 18.84 20.58 01a58079o0850o
58081.527273  13.770  0.003 11273   35 c  0 1210.63 123.84754 -38.98983  4162.03  3533.63 3.29 2.81  54.3 -0.390 19.21 21.04 02a58081o0559c
58081.535498  13.872  0.003 10263   32 c  0 3095.45 123.84754 -38.98983  4174.78  3573.43 2.95 2.52  55.0 -0.410 19.30 21.07 02a58081o0577c
58081.542798  13.874  0.003 10241   32 c  0 3239.26 123.84754 -38.98983  4112.34  3496.98 2.94 2.50  56.2 -0.404 19.36 21.10 02a58081o0593c
58081.551541  13.766  0.003 11316   34 c  0 1889.63 123.84754 -38.98983  4093.40  3614.99 3.00 2.55  54.0 -0.403 19.35 21.11 02a58081o0612c
58083.564338  13.172  0.115 19561 2258 o  0   1.45 123.84754 -38.98983  9654.00  7964.29 3.82 3.15  89.4 -0.375 14.50 15.78 01a58083o0089o
58091.513223  13.424  0.006 15504   90 o  0  34.36 123.84754 -38.98983  9362.25  7413.29 4.39 3.27 -85.0 -0.392 17.96 18.86 01a58091o0689o
58091.521486  13.444  0.005 15214   81 o  0  49.46 123.84754 -38.98983  9320.01  7347.93 4.32 3.21 -86.0 -0.393 17.99 18.89 01a58091o0707o
58091.528376  13.419  0.006 15568   89 o  0  29.08 123.84754 -38.98983  9371.89  7400.18 4.45 3.40 -88.3 -0.391 17.99 18.91 01a58091o0722o
58091.535298  13.384  0.006 16091   92 o  0  15.75 123.84754 -38.98983  9392.22  7258.94 4.68 4.32 -70.2 -0.340 17.80 18.92 01a58091o0737o
58095.522805  13.481  0.003 14712   48 o  0 440.21 123.84754 -38.98983  6196.69  6724.29 3.69 2.86 -89.5 -0.431 18.61 19.79 01a58095o0740o
58095.536125  13.492  0.003 14567   46 o  0 396.32 123.84754 -38.98983  6153.86  6638.87 3.89 3.07 -88.6 -0.422 18.59 19.82 01a58095o0769o
58095.542536  13.395  0.003 15918   48 o  0 160.19 123.84754 -38.98983  6208.15  6691.60 4.01 3.82 -76.0 -0.368 18.47 19.84 01a58095o0783o
58095.550353  13.462  0.003 14973   48 o  0 287.02 123.84754 -38.98983  6231.40  6545.33 4.02 3.17 -84.8 -0.411 18.57 19.86 01a58095o0800o
58097.524669  13.614  0.003 13012   41 o  0 3387.00 123.84754 -38.98983  2899.71  3511.83 2.42 2.25  52.2 -0.428 18.96 20.13 02a58097o0690o
58097.533340  13.683  0.003 12210   40 o  0 3926.27 123.84754 -38.98983  2927.84  3550.31 2.46 2.31  53.5 -0.399 18.93 20.17 02a58097o0709o
58097.540648  13.660  0.003 12476   42 o  0 2382.72 123.84754 -38.98983  2850.91  3590.87 2.50 2.38  44.3 -0.394 18.87 20.18 02a58097o0725o
58097.546139  13.595  0.003 13249   43 o  0 3234.05 123.84754 -38.98983  2864.54  3475.59 2.48 2.33  50.9 -0.403 18.81 20.21 02a58097o0737o
58099.525480  13.404  0.003 15785   54 o  0  81.64 123.84754 -38.98983  7989.85  6299.25 4.54 4.16  88.0 -0.356 18.30 19.96 01a58099o0745o
58099.526396  13.431  0.003 15406   50 o  0 228.01 123.84754 -38.98983  7973.59  6257.04 4.18 3.61 -89.4 -0.402 18.45 20.00 01a58099o0747o
58099.531434  13.470  0.003 14857   43 o  0 502.37 123.84754 -38.98983  8029.52  6314.67 4.18 3.35  88.5 -0.402 18.77 20.31 01a58099o0758o
58099.539693  13.448  0.003 15162   44 o  0 370.11 123.84754 -38.98983  8037.37  6167.50 4.21 3.46  89.0 -0.393 18.71 20.29 01a58099o0776o
58103.518847  13.530  0.003 14058   40 o  0 977.16 123.84754 -38.98983  8112.03  7190.37 4.07 2.93 -88.0 -0.411 19.01 20.65 01a58103o0588o
58103.523427  13.480  0.003 14727   41 o  0 977.52 123.84754 -38.98983  8092.23  7134.26 4.05 3.01 -87.3 -0.418 18.99 20.64 01a58103o0598o
