###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
58183.361649  13.458  0.003 15025   46 o  0 631.11 123.84754 -38.98983  1312.22  2113.68 3.65 2.85  85.5 -0.457 18.61 20.06 01a58183o0306o
58183.368066  13.467  0.003 14900   49 o  0 444.25 123.84754 -38.98983  1252.28  2063.36 3.88 2.96  83.0 -0.443 18.48 19.99 01a58183o0320o
58183.374955  13.450  0.003 15139   47 o  0 544.75 123.84754 -38.98983  1224.77  2208.37 3.67 2.93  84.3 -0.452 18.54 19.92 01a58183o0335o
58184.276347  13.614  0.003 13008   43 o  0 5962.88 123.84754 -38.98983  5866.90  9340.15 2.18 1.91  29.1 -0.526 19.25 20.46 02a58184o0132o
58184.277260  13.583  0.003 13395   43 o  0 7869.66 123.84754 -38.98983  5851.21  9301.70 2.18 1.93  23.7 -0.525 19.27 20.46 02a58184o0134o
58184.284629  13.597  0.003 13216   44 o  0 5273.55 123.84754 -38.98983  5819.58  9264.37 2.15 1.89  27.6 -0.519 19.31 20.49 02a58184o0150o
58184.285542  13.574  0.003 13505   43 o  0 6626.56 123.84754 -38.98983  5788.23  9380.95 2.17 1.88  18.0 -0.527 19.30 20.50 02a58184o0152o
58185.276179  13.523  0.003 14153   44 o  0 2459.65 123.84754 -38.98983  5866.66  9340.13 2.56 2.23  36.3 -0.486 19.12 20.32 02a58185o0131o
58185.277091  13.531  0.003 14046   44 o  0 2818.97 123.84754 -38.98983  5850.85  9301.40 2.46 2.14  30.8 -0.488 19.15 20.34 02a58185o0133o
58185.284459  13.521  0.003 14182   44 o  0 2812.24 123.84754 -38.98983  5818.82  9263.73 2.47 2.14  31.0 -0.491 19.13 20.36 02a58185o0149o
58185.285371  13.502  0.003 14426   46 o  0 2113.54 123.84754 -38.98983  5787.09  9380.31 2.51 2.20  29.8 -0.480 19.15 20.37 02a58185o0151o
58187.286355  13.476  0.004 14782   66 o  0 589.01 123.84754 -38.98983  5077.92  9085.51 2.39 2.04  27.1 -0.503 18.58 19.65 02a58187o0152o
58187.289938  13.497  0.005 14493   79 o  0 438.69 123.84754 -38.98983  5100.23  9121.32 2.44 2.12  30.1 -0.482 18.14 19.11 02a58187o0158o
58187.295763  13.527  0.003 14104   46 o  0 2521.87 123.84754 -38.98983  5034.87  9046.24 2.42 2.03  27.4 -0.494 19.02 20.05 02a58187o0170o
58187.302762  13.528  0.003 14086   46 o  0 2752.99 123.84754 -38.98983  5021.15  9164.22 2.40 2.07  33.3 -0.495 19.11 20.16 02a58187o0183o
58187.312929  13.532  0.003 14032   42 o  0 3485.12 123.84754 -38.98983  5400.21  1332.87 2.48 2.12  40.2 -0.502 19.11 20.20 02a58187o0204o
58187.325899  13.583  0.003 13393   41 o  0 3451.77 123.84754 -38.98983  4183.03  2297.54 2.46 2.17  38.6 -0.466 19.10 20.17 02a58187o0229o
58187.331306  13.614  0.003 13012   45 o  0 3034.72 123.84754 -38.98983  4136.28  2354.13 2.37 2.06  38.3 -0.476 18.86 19.91 02a58187o0240o
58187.349098  13.650  0.003 12585   40 o  0 6309.51 123.84754 -38.98983  4139.27  2352.86 2.29 2.03  37.3 -0.487 19.18 20.26 02a58187o0276o
58188.274285  13.092  0.552 21056 11621 o  0   1.25 123.84754 -38.98983  6581.97  6902.76 2.25 1.80  36.4 -0.485 13.07 14.19 02a58188o0125o
58188.289660  13.543  0.316 13892 4387 o  0   1.67 123.84754 -38.98983  6588.53  6947.58 2.06 1.86  33.3 -0.488 12.62 13.81 02a58188o0154o
58188.297981  12.701  0.366 30163 11033 o  0   0.75 123.84754 -38.98983  3932.87  3454.82 2.37 2.04  35.7 -0.442 13.49 15.18 02a58188o0170o
58188.299999  13.629  0.421 12840 5408 o  0   1.84 123.84754 -38.98983  6528.26  6868.71 2.06 1.79  23.1 -0.471 13.40 14.75 02a58188o0174o
58188.308697 -11.919  0.851 -62025 52787 o  0   0.98 123.84754 -38.98983  6561.46  6927.20 2.76 2.60  33.2 -0.136 10.23 11.68 02a58188o0187o
58188.317938 -12.137  0.967 -50724 49054 o  0   1.06 123.84754 -38.98983  4184.16  2296.60 2.01 1.87  73.6 -0.510 12.90 14.24 02a58188o0206o
58193.340519  13.796  0.003 11010   36 c  0 3751.87 123.84754 -38.98983  9678.11  8674.56 2.46 2.43 -25.7 -0.450 19.53 21.16 02a58193o0237c
58193.347388  13.833  0.003 10637   35 c  0 4265.74 123.84754 -38.98983  9664.43  8635.54 2.43 2.40 -23.6 -0.453 19.55 21.16 02a58193o0252c
58193.354270  13.788  0.003 11091   37 c  0 2895.97 123.84754 -38.98983  9727.83  8711.57 2.55 2.47 -15.2 -0.452 19.48 21.15 02a58193o0267c
58193.361135  13.791  0.003 11058   37 c  0 2257.53 123.84754 -38.98983  9744.24  8593.82 2.45 2.40 -14.5 -0.455 19.56 21.17 02a58193o0282c
58195.291291 -16.690  0.029  -766   22 g  0  85.37 123.84754 -38.98983  9603.52  8554.01 2.95 2.49  65.9 -0.769 19.35 21.83 02a58195o0143g
58195.298525 -16.833  0.027  -671   18 g  0 223.73 123.84754 -38.98983  9589.45  8512.67 2.81 2.40  61.7 -0.784 19.42 21.85 02a58195o0158g
58195.301265 -16.397  0.021 -1003   21 g  0  81.89 123.84754 -38.98983  9651.32  8591.19 2.78 2.40  64.1 -0.774 19.40 21.86 02a58195o0164g
58195.302635 -16.390  0.019 -1009   19 g  0 157.08 123.84754 -38.98983  9666.09  8473.87 2.73 2.36  62.3 -0.814 19.44 21.86 02a58195o0167g
58207.338315  13.403  0.004 15812   62 o  0 122.97 123.84754 -38.98983  2234.13  1882.98 3.67 3.10  86.0 -0.449 17.68 18.58 01a58207o0163o
58207.344739  13.452  0.004 15108   60 o  0 208.59 123.84754 -38.98983  2262.48  1946.10 3.41 2.80  85.5 -0.471 17.75 18.57 01a58207o0177o
58207.351622  13.413  0.004 15658   64 o  0 122.64 123.84754 -38.98983  2195.88  1895.02 3.64 3.01  82.7 -0.454 17.70 18.54 01a58207o0192o
58207.358102  13.383  0.004 16093   66 o  0  92.75 123.84754 -38.98983  2163.64  2036.89 3.86 3.12  88.7 -0.439 17.62 18.51 01a58207o0206o
58209.351532  13.582  0.005 13407   70 o  0 377.39 123.84754 -38.98983  6270.16  7389.40 2.43 2.23  59.0 -0.509 17.77 18.50 02a58209o0264o
58209.359563  13.517  0.005 14228   76 o  0 259.17 123.84754 -38.98983  6257.90  7349.07 2.53 2.28  59.4 -0.507 17.60 18.41 02a58209o0281o
58213.316214  13.615  0.003 13003   44 o  0 4040.20 123.84754 -38.98983  8969.22  8221.69 2.23 2.10  51.2 -0.469 19.08 20.37 02a58213o0155o
58213.323226  13.634  0.004 12780   46 o  0 3765.56 123.84754 -38.98983  8940.22  8182.45 2.18 2.08  48.1 -0.485 19.06 20.27 02a58213o0169o
58213.329634  13.612  0.004 13036   48 o  0 2249.05 123.84754 -38.98983  9001.66  8258.28 2.41 2.21  56.6 -0.446 18.97 20.17 02a58213o0183o
58213.336037  13.556  0.004 13733   49 o  0 1994.81 123.84754 -38.98983  9032.11  8140.80 2.42 2.22  66.3 -0.434 18.92 20.14 02a58213o0197o
58219.313040  13.411  0.003 15683   47 o  0 450.75 123.84754 -38.98983  4115.78  5105.32 3.58 3.53   2.5 -0.407 18.59 19.99 01a58219o0017o
58221.280400  13.803  0.003 10939   34 c  0 3238.34 123.84754 -38.98983  9231.83  5440.95 2.67 2.54  85.1 -0.426 19.47 21.17 02a58221o0124c
58221.289302  13.833  0.003 10634   35 c  0 2858.89 123.84754 -38.98983  9218.98  5400.82 2.63 2.49 -86.2 -0.429 19.47 21.15 02a58221o0143c
58221.298147  13.842  0.003 10552   36 c  0 2221.90 123.84754 -38.98983  9281.50  5475.60 2.68 2.52 -89.2 -0.435 19.44 21.12 02a58221o0162c
58225.274438  13.734  0.005 11649   62 c  0 236.98 123.84754 -38.98983  7119.81  8672.92 3.05 2.88  61.8 -0.380 18.28 20.10 02a58225o0109c
58225.282292  13.699  0.022 12035  263 c  0   6.00 123.84754 -38.98983  7107.37  8633.14 2.88 2.73  70.6 -0.405 16.72 18.57 02a58225o0126c
58225.289693  13.757  0.006 11408   67 c  0 163.82 123.84754 -38.98983  7169.60  8709.55 3.12 2.98  73.9 -0.396 18.18 20.06 02a58225o0142c
58225.297512  13.723  0.006 11770   72 c  0 136.86 123.84754 -38.98983  7186.08  8591.54 3.04 2.89  82.5 -0.405 18.14 20.02 02a58225o0159c
58229.273810  13.454  0.016 15085  246 o  0  14.84 123.84754 -38.98983  6015.12  6560.90 2.75 2.47 -75.4 -0.405 16.18 16.72 02a58229o0018o
58229.281673  13.442  0.096 15249 1465 o  0   1.37 123.84754 -38.98983  5985.28  6521.10 2.87 2.58 -66.3 -0.420 14.18 14.67 02a58229o0035o
58229.289030  -3.168  0.467 67194042019 31396342778 o  0   1.13 123.84754 -38.98983  6044.49  6598.85 2.94 2.79 -79.4 -0.425 -3.96 -3.45 02a58229o0051o
58229.296424  13.653  0.166 12556 2089 o  0   1.37 123.84754 -38.98983  6076.85  6480.82 2.69 2.50  87.9 -0.433 14.75 15.31 02a58229o0067o
58233.267983  13.472  0.004 14832   56 o  0 351.56 123.84754 -38.98983  9229.45  6794.80 2.76 2.63 -88.9 -0.405 18.33 19.02 02a58233o0074o
58233.275827  13.608  0.004 13089   50 o  0 900.50 123.84754 -38.98983  9216.21  6754.09 2.44 2.27  80.2 -0.407 18.45 18.97 02a58233o0091o
58233.283194  13.542  0.004 13903   53 o  0 602.43 123.84754 -38.98983  9278.06  6830.15 2.45 2.31  85.0 -0.405 18.41 18.93 02a58233o0107o
58233.290107  13.597  0.004 13224   55 o  0 752.56 123.84754 -38.98983  9295.35  6712.78 2.31 2.19  80.1 -0.477 18.38 18.88 02a58233o0122o
58245.239596  13.496  0.006 14508   83 o  0 198.38 123.84754 -38.98983  9476.62  7160.34 2.45 2.30  67.9 -0.417 18.04 18.47 02a58245o0030o
58245.244665  13.566  0.004 13599   52 o  0 918.35 123.84754 -38.98983  9461.67  7121.26 2.45 2.39  89.8 -0.387 18.57 19.38 02a58245o0041o
58245.251601  13.595  0.004 13243   51 o  0 1128.05 123.84754 -38.98983  9523.77  7197.21 2.44 2.32  70.1 -0.407 18.69 19.64 02a58245o0056o
58245.258620  13.557  0.004 13716   49 o  0 1406.17 123.84754 -38.98983  9539.02  7078.85 2.43 2.34  81.7 -0.394 18.74 19.69 02a58245o0071o
58401.634324  13.883  0.003 10161   35 c  0 2558.58 123.84754 -38.98983  2051.94  3620.34 2.56 2.49  57.3 -0.397 19.23 20.63 02a58401o0940c
58401.642366  13.755  0.004 11433   46 c  0 368.21 123.84754 -38.98983  2066.01  3658.43 2.66 2.59  47.6 -0.397 18.46 19.32 02a58401o0957c
58401.648633  13.709  0.009 11927  108 c  0  31.02 123.84754 -38.98983  2004.66  3600.25 2.60 2.59 -46.4 -0.423 17.02 17.58 02a58401o0970c
58413.645195  13.700  0.003 12018   40 o  0 3810.97 123.84754 -38.98983   872.81  3756.70 2.23 2.01  46.7 -0.442 18.86 19.54 02a58413o0945o
58413.653887  13.586  0.005 13348   70 o  0 395.05 123.84754 -38.98983   885.86  3794.86 2.23 2.05  46.7 -0.423 17.40 17.22 02a58413o0964o
58437.648920  13.657  0.039 12507  494 o  0   3.47 123.84754 -38.98983  7386.95  6485.57 2.67 2.57  57.4 -0.495 17.58 18.99 02a58437o0853o
58437.655784  -1.843  1.557 19822492482 30862868042 o  0   1.48 123.84754 -38.98983  8030.76  7157.86 2.73 2.60  87.4 -0.411 -3.89 -3.46 02a58437o0868o
58441.659998  13.491  0.003 14580   49 o  0 739.10 123.84754 -38.98983  6906.80  7147.69 2.53 2.42 -78.9 -0.414 18.35 18.73 02a58441o1029o
58443.613572  13.481  0.003 14708   47 o  0 597.80 123.84754 -38.98983  2810.10  3189.43 2.99 2.93  16.7 -0.454 18.51 19.66 01a58443o0933o
58443.630526  13.446  0.003 15185   46 o  0 542.07 123.84754 -38.98983  2838.64  3294.95 3.21 3.12  32.4 -0.436 18.71 19.99 01a58443o0969o
58443.647914  13.395  0.003 15926   47 o  0 265.34 123.84754 -38.98983  2790.37  3286.96 3.83 3.79 -74.3 -0.418 18.45 19.94 01a58443o1006o
58443.651597  13.437  0.003 15313   52 o  0 221.94 123.84754 -38.98983  2778.10  3418.24 3.43 3.32  59.7 -0.433 18.31 19.46 01a58443o1014o
58447.650531  13.418  0.004 15586   59 o  0  97.58 123.84754 -38.98983  2989.90  3585.70 3.42 3.38  54.2 -0.419 17.97 18.95 01a58447o0989o
58447.660791   4.621  0.437 -256176837791 112045869381 o  0   1.47 123.84754 -38.98983  3019.81  3674.95 3.50 3.50   0.0 -0.136 -6.01 -5.42 01a58447o1011o
58449.645874  13.567  0.003 13591   45 o  0 1415.34 123.84754 -38.98983  8626.90  6465.31 2.59 2.43 -75.7 -0.398 18.83 19.58 02a58449o1011o
58449.656119  13.515  0.003 14258   50 o  0 582.73 123.84754 -38.98983  8597.32  6428.76 2.74 2.59 -76.7 -0.402 18.46 19.14 02a58449o1033o
58451.640338  13.475  0.003 14794   42 o  0 976.00 123.84754 -38.98983  2858.83  4581.45 3.06 3.02 -31.8 -0.437 18.92 20.39 01a58451o0990o
58451.650592  13.473  0.003 14820   47 o  0 418.91 123.84754 -38.98983  2891.08  4660.12 3.35 3.25 -24.0 -0.414 18.57 19.91 01a58451o1012o
58451.660390  13.395  0.007 15918  112 o  0  14.19 123.84754 -38.98983  2831.56  4623.27 3.79 3.46  80.6 -0.428 16.89 17.60 01a58451o1033o
58453.648750  13.740  0.003 11587   37 o  0 7184.89 123.84754 -38.98983  2358.16  4032.54 2.09 2.01  78.1 -0.438 19.25 20.21 02a58453o0607o
58453.659418  13.698  0.004 12045   44 o  0 2920.19 123.84754 -38.98983  2419.39  4112.44 2.08 1.98  82.9 -0.454 18.74 19.24 02a58453o0630o
58455.540898  13.534  0.003 14005   41 o  0 1303.59 123.84754 -38.98983  1286.96  7318.52 3.47 2.92 -87.1 -0.438 19.01 20.81 01a58455o0751o
58455.553886  13.515  0.003 14250   40 o  0 1659.85 123.84754 -38.98983  1262.12  7231.28 3.53 2.88 -87.0 -0.435 19.02 20.88 01a58455o0775o
58455.561533  13.539  0.003 13945   40 o  0 1699.58 123.84754 -38.98983  1318.05  7281.41 3.34 2.77  89.6 -0.451 19.06 20.92 01a58455o0790o
58455.567017  13.581  0.003 13418   40 o  0 2446.66 123.84754 -38.98983  1331.62  7144.34 3.02 2.62 -89.8 -0.473 19.10 20.85 01a58455o0801o
58459.524593  13.475  0.003 14794   43 o  0 603.14 123.84754 -38.98983  8395.80  3464.14 3.64 3.22  85.5 -0.401 18.98 20.68 01a58459o0738o
58459.525976  13.488  0.003 14609   41 o  0 836.96 123.84754 -38.98983  8378.05  3420.60 3.81 3.10  89.9 -0.400 18.99 20.68 01a58459o0741o
58459.537498  13.471  0.003 14840   43 o  0 523.35 123.84754 -38.98983  8411.64  3456.51 4.07 3.47  86.5 -0.390 18.91 20.76 01a58459o0766o
58459.545340  13.466  0.003 14918   43 o  0 663.32 123.84754 -38.98983  8434.02  3310.38 3.87 3.19  85.7 -0.402 19.03 20.86 01a58459o0783o
58463.505409  13.395  0.023 15927  365 o  0   2.47 123.84754 -38.98983  3556.66  7402.58 4.11 4.02 -86.8 -0.347 15.64 17.62 01a58463o0591o
58463.516467  13.406  0.019 15765  293 o  0   3.95 123.84754 -38.98983  3514.10  7323.22 3.98 3.92 -46.7 -0.397 15.97 17.87 01a58463o0615o
58463.528435  13.428  0.023 15442  353 o  0   3.25 123.84754 -38.98983  3564.54  7358.69 4.12 3.62 -83.3 -0.396 15.67 17.65 01a58463o0641o
58463.538106  13.382  0.036 16109  588 o  0   1.91 123.84754 -38.98983  3587.53  7206.24 3.94 3.64 -88.2 -0.395 14.99 16.90 01a58463o0662o
58465.531794  13.731  0.003 11681   38 o  0 7343.41 123.84754 -38.98983  4187.05  7177.59 2.27 2.04 -40.2 -0.442 19.48 20.95 02a58465o0750o
58465.540418  13.716  0.003 11847   37 o  0 10489.40 123.84754 -38.98983  4208.81  7213.03 2.09 2.00  -3.3 -0.475 19.47 20.98 02a58465o0768o
58465.547283  13.663  0.003 12440   41 o  0 5482.24 123.84754 -38.98983  4162.97  7133.89 2.16 2.01 -10.0 -0.468 19.42 20.93 02a58465o0783o
58465.555455  13.678  0.003 12271   42 o  0 4915.41 123.84754 -38.98983  4123.55  7252.93 2.39 2.02 -29.2 -0.432 19.33 20.94 02a58465o0800o
58467.530681  13.445  0.003 15202   42 o  0 931.22 123.84754 -38.98983  4538.17  3405.47 3.48 3.18 -88.6 -0.415 19.02 20.95 01a58467o0747o
58467.541022  13.515  0.003 14251   40 o  0 1509.76 123.84754 -38.98983  6195.10  6950.22 3.42 2.97 -84.6 -0.415 19.14 20.91 01a58467o0769o
58467.543323  13.524  0.003 14134   40 o  0 1292.65 123.84754 -38.98983  6138.13  6880.55 3.41 3.00 -87.2 -0.410 19.07 20.89 01a58467o0774o
58467.550882  13.401  0.003 15840   43 o  0 414.63 123.84754 -38.98983  4592.68  3250.95 4.12 3.79 -78.2 -0.381 18.79 20.84 01a58467o0790o
58469.563008  13.648  0.003 12612   41 o  0 4888.92 123.84754 -38.98983  5366.75  7238.21 2.28 2.24 -34.6 -0.450 19.20 20.64 02a58469o0820o
58469.573833  13.612  0.003 13042   41 o  0 3624.52 123.84754 -38.98983  5352.13  7200.63 2.60 2.37 -55.5 -0.418 19.20 20.57 02a58469o0843o
58469.581822  13.604  0.003 13140   43 o  0 2426.93 123.84754 -38.98983  5411.11  7278.79 2.66 2.40 -56.0 -0.412 19.20 20.60 02a58469o0860o
58469.587309  13.614  0.003 13013   41 o  0 3876.51 123.84754 -38.98983  5428.74  7163.21 2.50 2.31 -57.7 -0.423 19.19 20.59 02a58469o0872o
58471.539355  13.415  0.003 15625   52 o  0  59.09 123.84754 -38.98983  9782.96  8941.59 6.07 4.41 -79.8 -0.265 18.54 20.10 01a58471o0696o
58471.544892  13.375  0.003 16213   54 o  0  59.77 123.84754 -38.98983  9803.12  9003.00 5.76 4.26 -81.0 -0.304 18.54 20.14 01a58471o0708o
58471.554107  13.408  0.003 15732   48 o  0 263.59 123.84754 -38.98983   549.56  9091.53 4.22 3.72 -85.0 -0.365 18.65 20.22 01a58471o0728o
58471.556876  13.403  0.003 15805   50 o  0  65.21 123.84754 -38.98983  9762.81  8972.10 6.17 4.56 -80.2 -0.260 18.55 20.17 01a58471o0734o
58471.561941  13.432  0.003 15389   48 o  0 279.00 123.84754 -38.98983   571.93  9159.60 4.06 3.41  84.5 -0.405 18.64 20.30 01a58471o0745o
58471.565167  13.404  0.003 15795   48 o  0 127.66 123.84754 -38.98983  9737.69  9120.78 5.47 3.91 -84.8 -0.331 18.70 20.34 01a58471o0752o
58471.571654  13.457  0.003 15032   44 o  0 539.43 123.84754 -38.98983   529.84  9123.62 3.77 3.39 -84.9 -0.401 18.88 20.56 01a58471o0766o
58471.585922  13.435  0.003 15349   44 o  0 565.70 123.84754 -38.98983   504.29  9299.32 4.10 3.36 -89.9 -0.419 19.08 21.21 01a58471o0797o
58473.535910  13.500  0.005 14456   76 o  0 197.77 123.84754 -38.98983   968.06  9106.98 2.51 2.43  -4.1 -0.470 18.10 18.98 02a58473o0756o
58473.544263  13.486  0.005 14637   75 o  0 195.49 123.84754 -38.98983   953.80  9068.09 2.74 2.63 -17.9 -0.457 18.05 19.03 02a58473o0774o
58473.552963  13.400  0.034 15855  536 o  0   3.39 123.84754 -38.98983  1016.14  9149.16 2.90 2.64  19.4 -0.514 16.76 17.29 02a58473o0793o
58473.561206  13.406  0.013 15755  213 o  0  13.36 123.84754 -38.98983  1033.38  9031.96 2.83 2.63   3.0 -0.453 16.24 17.00 02a58473o0811o
58475.518453  13.412  0.005 15671   83 o  0  39.58 123.84754 -38.98983  4316.11  8868.29 3.76 3.27 -82.1 -0.412 18.14 19.06 01a58475o0716o
58475.526183  13.412  0.005 15681   82 o  0  40.62 123.84754 -38.98983  4353.31  8936.75 3.89 3.37 -84.0 -0.399 18.04 19.06 01a58475o0732o
58475.537488  13.395  0.005 15922   84 o  0  42.52 123.84754 -38.98983  4303.10  8905.71 3.79 3.39 -80.8 -0.402 18.04 19.06 01a58475o0755o
58475.541168  13.405  0.005 15776   79 o  0  42.20 123.84754 -38.98983  4289.90  9035.89 3.78 3.46 -78.8 -0.407 18.04 19.05 01a58475o0763o
58479.493350  13.494  0.003 14537   45 o  0 789.18 123.84754 -38.98983  4219.83  5355.22 3.32 2.85  85.6 -0.436 18.71 19.92 01a58479o0632o
58479.503673  13.504  0.003 14403   44 o  0 636.15 123.84754 -38.98983  6529.92  4999.44 3.61 2.91 -89.5 -0.405 18.73 20.01 01a58479o0654o
58479.515587  13.514  0.003 14268   44 o  0 636.71 123.84754 -38.98983  6478.60  4969.19 3.65 2.92  89.3 -0.405 18.74 20.04 01a58479o0679o
58479.526994  13.494  0.003 14529   43 o  0 753.83 123.84754 -38.98983  6472.17  5129.85 3.52 3.09 -88.8 -0.403 18.76 20.07 01a58479o0703o
58483.529986   1.763  0.570 -18415865972 10495063403 o  0   1.35 123.84754 -38.98983  5936.04  1198.21 3.68 3.01   7.9 -0.424 -2.96 -1.09 01a58483o0266o
58483.538759  -4.601  0.056 251354893178 13975095862 o  0   1.29 123.84754 -38.98983  5944.76  1300.78 3.47 3.23   0.1 -0.403 -3.16 -1.36 01a58483o0285o
58483.547534  13.441  0.004 15267   59 o  0 414.64 123.84754 -38.98983  5886.03  1258.28 3.33 3.23 -15.4 -0.416 18.18 19.98 01a58483o0304o
58483.556301  13.483  0.004 14682   55 o  0 529.04 123.84754 -38.98983  5872.39  1410.13 3.18 3.06  84.6 -0.424 18.39 20.12 01a58483o0323o
58485.531998  13.758  0.003 11402   38 c  0 1892.77 123.84754 -38.98983  7335.08  7228.64 2.80 2.71  85.5 -0.414 19.33 21.56 02a58485o0732c
58485.542624  13.742  0.003 11564   36 c  0 1860.49 123.84754 -38.98983  7318.84  7188.91 2.82 2.68 -86.2 -0.393 19.42 21.58 02a58485o0754c
58485.553051  13.807  0.003 10898   36 c  0 2214.54 123.84754 -38.98983  7364.47  7269.92 2.88 2.72 -74.9 -0.390 19.38 21.59 02a58485o0776c
58485.563037  13.770  0.003 11269   37 c  0 1899.67 123.84754 -38.98983  7397.93  7153.56 2.80 2.64 -79.2 -0.393 19.40 21.55 02a58485o0797c
58487.521323  13.476  0.003 14781   41 o  0 1373.54 123.84754 -38.98983  1922.93  1304.43 3.10 2.94  -7.9 -0.432 19.12 20.90 01a58487o0711o
58487.531035  13.434  0.003 15359   43 o  0 625.26 123.84754 -38.98983  1943.30  1381.76 3.55 3.31 -20.2 -0.421 19.02 20.90 01a58487o0732o
58487.540734  13.441  0.003 15266   42 o  0 731.33 123.84754 -38.98983  1884.12  1343.78 3.52 3.15  -8.7 -0.412 19.11 21.00 01a58487o0753o
58487.550419  13.471  0.003 14842   41 o  0 1375.18 123.84754 -38.98983  1871.22  1500.21 3.24 3.00  -2.2 -0.426 19.13 20.97 01a58487o0774o
58489.521150  13.735  0.003 11637   39 c  0 871.61 123.84754 -38.98983  2683.48  9146.14 3.11 3.04 -70.4 -0.373 19.08 21.38 02a58489o0320c
58489.531324  13.807  0.003 10890   37 c  0 2593.42 123.84754 -38.98983  2671.83  9109.17 2.79 2.75 -45.4 -0.398 19.19 21.39 02a58489o0341c
58489.541054  13.757  0.003 11409   38 c  0 1641.10 123.84754 -38.98983  2733.94  9187.87 3.06 2.99 -62.7 -0.393 19.12 21.41 02a58489o0362c
58489.550255  13.738  0.003 11614   40 c  0 1106.18 123.84754 -38.98983  2751.27  9071.20 3.15 3.01 -74.3 -0.397 19.10 21.37 02a58489o0382c
58491.468662  13.447  0.003 15182   43 o  0 632.74 123.84754 -38.98983 10407.91  5010.21 4.61 3.30 -85.0 -0.425 19.14 21.22 01a58491o0598o
58491.477873  13.447  0.003 15181   46 o  0 528.22 123.84754 -38.98983  1028.49  5098.34 3.37 3.20  83.4 -0.437 19.15 21.20 01a58491o0618o
58491.481032  13.418  0.003 15584   44 o  0 418.62 123.84754 -38.98983 10372.23  5019.22 4.82 3.47 -84.7 -0.405 19.07 21.19 01a58491o0624o
58491.483337  13.447  0.003 15176   43 o  0 821.72 123.84754 -38.98983 10437.28  5108.01 4.34 3.18 -86.6 -0.436 19.13 21.20 01a58491o0629o
58491.488862  13.461  0.003 14984   42 o  0 1100.94 123.84754 -38.98983  1056.31  5179.87 3.31 3.12  68.6 -0.447 19.14 21.21 01a58491o0641o
58491.492544  13.432  0.003 15389   43 o  0 791.59 123.84754 -38.98983 10367.50  5180.46 4.27 3.30 -86.4 -0.431 19.07 21.20 01a58491o0649o
58491.499368  13.480  0.003 14722   41 o  0 1456.74 123.84754 -38.98983  1017.94  5145.68 3.28 3.00  81.2 -0.449 19.21 21.27 01a58491o0663o
58491.512147  13.461  0.003 14984   41 o  0 1270.92 123.84754 -38.98983   992.67  5314.64 3.39 3.21  79.5 -0.439 19.13 21.30 01a58491o0689o
58493.468408  13.775  0.004 11216   44 c  0 993.25 123.84754 -38.98983  5714.50  5302.41 2.86 2.79  68.6 -0.401 19.01 21.22 02a58493o0590c
58493.478466  13.795  0.004 11019   40 c  0 1583.68 123.84754 -38.98983  5685.46  5264.30 2.73 2.69  43.7 -0.412 19.22 21.32 02a58493o0612c
58493.488890  13.791  0.003 11056   38 c  0 1351.65 123.84754 -38.98983  5745.09  5338.84 2.89 2.82  71.7 -0.394 19.28 21.37 02a58493o0634c
58493.500779  13.782  0.003 11149   36 c  0 1724.34 123.84754 -38.98983  5760.90  5224.06 3.06 2.88 -77.2 -0.384 19.24 21.32 02a58493o0660c
58495.491343  13.455  0.003 15069   41 o  0 881.02 123.84754 -38.98983  9200.12  3172.12 3.58 3.30 -83.0 -0.404 19.09 21.04 01a58495o0643o
58495.501064  13.482  0.003 14689   41 o  0 1183.10 123.84754 -38.98983  9217.77  3250.41 3.83 3.16 -84.0 -0.419 19.07 21.08 01a58495o0664o
58495.510777  13.454  0.003 15074   42 o  0 850.01 123.84754 -38.98983  9158.50  3209.70 3.81 3.33 -82.3 -0.411 19.07 21.13 01a58495o0685o
58495.521192  13.443  0.003 15237   41 o  0 935.92 123.84754 -38.98983  9143.71  3368.54 3.85 3.26 -78.1 -0.422 19.08 21.11 01a58495o0707o
58497.463535  13.748  0.003 11505   38 o  0 7746.21 123.84754 -38.98983  2544.73  3324.43 2.19 2.16  37.4 -0.430 19.23 20.55 02a58497o0584o
58497.472727  13.752  0.003 11455   39 o  0 7170.48 123.84754 -38.98983  2531.22  3289.08 2.23 2.09  41.0 -0.435 19.26 20.62 02a58497o0604o
58497.482359  13.722  0.003 11787   39 o  0 5798.54 123.84754 -38.98983  2590.41  3367.55 2.26 2.17  24.1 -0.420 19.27 20.60 02a58497o0625o
58497.493339  13.760  0.003 11378   40 o  0 6868.96 123.84754 -38.98983  2607.81  3252.06 2.14 1.97  47.2 -0.452 19.31 20.58 02a58497o0649o
58499.444870  13.417  0.003 15608   47 o  0 257.90 123.84754 -38.98983  6817.14  9191.45 4.74 3.48 -87.4 -0.375 18.59 19.97 01a58499o0535o
58499.453306  13.459  0.003 15012   47 o  0 402.55 123.84754 -38.98983  6796.05  9120.36 3.96 3.09  89.4 -0.415 18.70 19.98 01a58499o0551o
58499.462211  13.438  0.003 15306   48 o  0 315.21 123.84754 -38.98983  6851.66  9164.89 4.08 3.17 -88.5 -0.410 18.66 19.99 01a58499o0568o
